No,地域,slug,区分,人口,街の性格,分野,分野slug,推奨URLパス,優先度,判定メモ,枝(目安),状態
40,港区,minato,区,270588,高級・ビジネス・国際,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/minato/,A,主力・最優先,3-5,
41,港区,minato,区,270588,高級・ビジネス・国際,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/minato/,D,都心は対象外/親統合,0,
42,港区,minato,区,270588,高級・ビジネス・国際,リトリート・禅体験,retreat-zen,/stories/retreat-zen/minato/,C,薄め/様子見,1-2,
43,港区,minato,区,270588,高級・ビジネス・国際,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/minato/,C,薄め/様子見,1-2,
44,港区,minato,区,270588,高級・ビジネス・国際,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/minato/,B,標準,2-3,
45,港区,minato,区,270588,高級・ビジネス・国際,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/minato/,C,薄め/様子見,1-2,
46,新宿区,shinjuku,区,360787,繁華街・オフィス・多国籍,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/shinjuku/,B,標準,2-3,
47,新宿区,shinjuku,区,360787,繁華街・オフィス・多国籍,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/shinjuku/,D,原則対象外/親統合,0,
48,新宿区,shinjuku,区,360787,繁華街・オフィス・多国籍,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/shinjuku/,D,原則対象外/親統合,0,
49,新宿区,shinjuku,区,360787,繁華街・オフィス・多国籍,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/shinjuku/,B,標準,2-3,
50,新宿区,shinjuku,区,360787,繁華街・オフィス・多国籍,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/shinjuku/,C,薄め/様子見,1-2,
51,新宿区,shinjuku,区,360787,繁華街・オフィス・多国籍,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/shinjuku/,B,標準,2-3,
52,新宿区,shinjuku,区,360787,繁華街・オフィス・多国籍,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/shinjuku/,B,標準,2-3,
53,新宿区,shinjuku,区,360787,繁華街・オフィス・多国籍,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/shinjuku/,C,薄め/様子見,1-2,
54,新宿区,shinjuku,区,360787,繁華街・オフィス・多国籍,コワーキング・シェアオフィス,coworking,/stories/coworking/shinjuku/,B,標準,2-3,
55,新宿区,shinjuku,区,360787,繁華街・オフィス・多国籍,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/shinjuku/,C,薄め/様子見,1-2,
56,新宿区,shinjuku,区,360787,繁華街・オフィス・多国籍,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/shinjuku/,D,都心は対象外/親統合,0,
57,新宿区,shinjuku,区,360787,繁華街・オフィス・多国籍,リトリート・禅体験,retreat-zen,/stories/retreat-zen/shinjuku/,C,薄め/様子見,1-2,
58,新宿区,shinjuku,区,360787,繁華街・オフィス・多国籍,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/shinjuku/,C,薄め/様子見,1-2,
59,新宿区,shinjuku,区,360787,繁華街・オフィス・多国籍,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/shinjuku/,C,薄め/様子見,1-2,
60,新宿区,shinjuku,区,360787,繁華街・オフィス・多国籍,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/shinjuku/,C,薄め/様子見,1-2,
61,文京区,bunkyo,区,249872,文教・住宅・寺社,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/bunkyo/,C,薄め/様子見,1-2,
62,文京区,bunkyo,区,249872,文教・住宅・寺社,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/bunkyo/,D,原則対象外/親統合,0,
63,文京区,bunkyo,区,249872,文教・住宅・寺社,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/bunkyo/,D,原則対象外/親統合,0,
64,文京区,bunkyo,区,249872,文教・住宅・寺社,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/bunkyo/,C,薄め/様子見,1-2,
65,文京区,bunkyo,区,249872,文教・住宅・寺社,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/bunkyo/,B,標準,2-3,
66,文京区,bunkyo,区,249872,文教・住宅・寺社,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/bunkyo/,C,薄め/様子見,1-2,
67,文京区,bunkyo,区,249872,文教・住宅・寺社,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/bunkyo/,B,標準,2-3,
68,文京区,bunkyo,区,249872,文教・住宅・寺社,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/bunkyo/,B,標準,2-3,
69,文京区,bunkyo,区,249872,文教・住宅・寺社,コワーキング・シェアオフィス,coworking,/stories/coworking/bunkyo/,C,薄め/様子見,1-2,
70,文京区,bunkyo,区,249872,文教・住宅・寺社,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/bunkyo/,C,薄め/様子見,1-2,
71,文京区,bunkyo,区,249872,文教・住宅・寺社,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/bunkyo/,D,都心は対象外/親統合,0,
72,文京区,bunkyo,区,249872,文教・住宅・寺社,リトリート・禅体験,retreat-zen,/stories/retreat-zen/bunkyo/,A,主力・最優先,3-5,
73,文京区,bunkyo,区,249872,文教・住宅・寺社,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/bunkyo/,A,主力・最優先,3-5,
74,文京区,bunkyo,区,249872,文教・住宅・寺社,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/bunkyo/,C,薄め/様子見,1-2,
75,文京区,bunkyo,区,249872,文教・住宅・寺社,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/bunkyo/,C,薄め/様子見,1-2,
76,台東区,taito,区,225769,下町・浅草・観光,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/taito/,B,標準,2-3,
77,台東区,taito,区,225769,下町・浅草・観光,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/taito/,C,限定的/要確認,1-2,
78,台東区,taito,区,225769,下町・浅草・観光,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/taito/,C,成立余地あり/要実在確認,1-2,
79,台東区,taito,区,225769,下町・浅草・観光,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/taito/,C,薄め/様子見,1-2,
80,台東区,taito,区,225769,下町・浅草・観光,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/taito/,B,標準,2-3,
81,台東区,taito,区,225769,下町・浅草・観光,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/taito/,C,薄め/様子見,1-2,
82,台東区,taito,区,225769,下町・浅草・観光,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/taito/,C,薄め/様子見,1-2,
83,台東区,taito,区,225769,下町・浅草・観光,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/taito/,C,薄め/様子見,1-2,
84,台東区,taito,区,225769,下町・浅草・観光,コワーキング・シェアオフィス,coworking,/stories/coworking/taito/,C,薄め/様子見,1-2,
85,台東区,taito,区,225769,下町・浅草・観光,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/taito/,C,薄め/様子見,1-2,
86,台東区,taito,区,225769,下町・浅草・観光,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/taito/,D,都心は対象外/親統合,0,
87,台東区,taito,区,225769,下町・浅草・観光,リトリート・禅体験,retreat-zen,/stories/retreat-zen/taito/,C,薄め/様子見,1-2,
88,台東区,taito,区,225769,下町・浅草・観光,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/taito/,A,主力・最優先,3-5,
89,台東区,taito,区,225769,下町・浅草・観光,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/taito/,A,主力・最優先,3-5,
90,台東区,taito,区,225769,下町・浅草・観光,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/taito/,B,標準,2-3,
91,墨田区,sumida,区,285361,下町・スカイツリー・職人,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/sumida/,C,薄め/様子見,1-2,
92,墨田区,sumida,区,285361,下町・スカイツリー・職人,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/sumida/,D,原則対象外/親統合,0,
93,墨田区,sumida,区,285361,下町・スカイツリー・職人,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/sumida/,C,限定的/要確認,1-2,
94,墨田区,sumida,区,285361,下町・スカイツリー・職人,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/sumida/,C,薄め/様子見,1-2,
95,墨田区,sumida,区,285361,下町・スカイツリー・職人,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/sumida/,B,標準,2-3,
96,墨田区,sumida,区,285361,下町・スカイツリー・職人,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/sumida/,C,薄め/様子見,1-2,
97,墨田区,sumida,区,285361,下町・スカイツリー・職人,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/sumida/,C,薄め/様子見,1-2,
98,墨田区,sumida,区,285361,下町・スカイツリー・職人,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/sumida/,C,薄め/様子見,1-2,
99,墨田区,sumida,区,285361,下町・スカイツリー・職人,コワーキング・シェアオフィス,coworking,/stories/coworking/sumida/,C,薄め/様子見,1-2,
100,墨田区,sumida,区,285361,下町・スカイツリー・職人,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/sumida/,C,薄め/様子見,1-2,
101,墨田区,sumida,区,285361,下町・スカイツリー・職人,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/sumida/,D,都心は対象外/親統合,0,
102,墨田区,sumida,区,285361,下町・スカイツリー・職人,リトリート・禅体験,retreat-zen,/stories/retreat-zen/sumida/,C,薄め/様子見,1-2,
103,墨田区,sumida,区,285361,下町・スカイツリー・職人,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/sumida/,B,標準,2-3,
104,墨田区,sumida,区,285361,下町・スカイツリー・職人,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/sumida/,B,標準,2-3,
105,墨田区,sumida,区,285361,下町・スカイツリー・職人,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/sumida/,C,薄め/様子見,1-2,
106,江東区,koto,区,541389,臨海・再開発・ファミリー,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/koto/,B,標準,2-3,
107,江東区,koto,区,541389,臨海・再開発・ファミリー,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/koto/,D,原則対象外/親統合,0,
108,江東区,koto,区,541389,臨海・再開発・ファミリー,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/koto/,D,原則対象外/親統合,0,
109,江東区,koto,区,541389,臨海・再開発・ファミリー,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/koto/,C,薄め/様子見,1-2,
110,江東区,koto,区,541389,臨海・再開発・ファミリー,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/koto/,C,薄め/様子見,1-2,
111,江東区,koto,区,541389,臨海・再開発・ファミリー,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/koto/,C,薄め/様子見,1-2,
112,江東区,koto,区,541389,臨海・再開発・ファミリー,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/koto/,B,標準,2-3,
113,江東区,koto,区,541389,臨海・再開発・ファミリー,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/koto/,C,薄め/様子見,1-2,
114,江東区,koto,区,541389,臨海・再開発・ファミリー,コワーキング・シェアオフィス,coworking,/stories/coworking/koto/,B,標準,2-3,
115,江東区,koto,区,541389,臨海・再開発・ファミリー,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/koto/,C,薄め/様子見,1-2,
116,江東区,koto,区,541389,臨海・再開発・ファミリー,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/koto/,C,限定的,1-2,
117,江東区,koto,区,541389,臨海・再開発・ファミリー,リトリート・禅体験,retreat-zen,/stories/retreat-zen/koto/,C,薄め/様子見,1-2,
118,江東区,koto,区,541389,臨海・再開発・ファミリー,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/koto/,C,薄め/様子見,1-2,
119,江東区,koto,区,541389,臨海・再開発・ファミリー,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/koto/,C,薄め/様子見,1-2,
120,江東区,koto,区,541389,臨海・再開発・ファミリー,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/koto/,A,主力・最優先,3-5,
121,品川区,shinagawa,区,430655,ビジネス・住宅・交通,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/shinagawa/,A,主力・最優先,3-5,
122,品川区,shinagawa,区,430655,ビジネス・住宅・交通,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/shinagawa/,D,原則対象外/親統合,0,
123,品川区,shinagawa,区,430655,ビジネス・住宅・交通,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/shinagawa/,D,原則対象外/親統合,0,
124,品川区,shinagawa,区,430655,ビジネス・住宅・交通,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/shinagawa/,C,薄め/様子見,1-2,
125,品川区,shinagawa,区,430655,ビジネス・住宅・交通,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/shinagawa/,B,標準,2-3,
126,品川区,shinagawa,区,430655,ビジネス・住宅・交通,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/shinagawa/,C,薄め/様子見,1-2,
127,品川区,shinagawa,区,430655,ビジネス・住宅・交通,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/shinagawa/,A,主力・最優先,3-5,
128,品川区,shinagawa,区,430655,ビジネス・住宅・交通,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/shinagawa/,B,標準,2-3,
129,品川区,shinagawa,区,430655,ビジネス・住宅・交通,コワーキング・シェアオフィス,coworking,/stories/coworking/shinagawa/,A,主力・最優先,3-5,
130,品川区,shinagawa,区,430655,ビジネス・住宅・交通,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/shinagawa/,B,標準,2-3,
131,品川区,shinagawa,区,430655,ビジネス・住宅・交通,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/shinagawa/,D,都心は対象外/親統合,0,
132,品川区,shinagawa,区,430655,ビジネス・住宅・交通,リトリート・禅体験,retreat-zen,/stories/retreat-zen/shinagawa/,C,薄め/様子見,1-2,
133,品川区,shinagawa,区,430655,ビジネス・住宅・交通,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/shinagawa/,C,薄め/様子見,1-2,
134,品川区,shinagawa,区,430655,ビジネス・住宅・交通,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/shinagawa/,C,薄め/様子見,1-2,
135,品川区,shinagawa,区,430655,ビジネス・住宅・交通,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/shinagawa/,C,薄め/様子見,1-2,
136,目黒区,meguro,区,288713,住宅・おしゃれ・カフェ,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/meguro/,C,薄め/様子見,1-2,
137,目黒区,meguro,区,288713,住宅・おしゃれ・カフェ,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/meguro/,D,原則対象外/親統合,0,
138,目黒区,meguro,区,288713,住宅・おしゃれ・カフェ,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/meguro/,D,原則対象外/親統合,0,
139,目黒区,meguro,区,288713,住宅・おしゃれ・カフェ,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/meguro/,C,薄め/様子見,1-2,
140,目黒区,meguro,区,288713,住宅・おしゃれ・カフェ,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/meguro/,A,主力・最優先,3-5,
141,目黒区,meguro,区,288713,住宅・おしゃれ・カフェ,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/meguro/,C,薄め/様子見,1-2,
142,目黒区,meguro,区,288713,住宅・おしゃれ・カフェ,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/meguro/,B,標準,2-3,
143,目黒区,meguro,区,288713,住宅・おしゃれ・カフェ,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/meguro/,A,主力・最優先,3-5,
144,目黒区,meguro,区,288713,住宅・おしゃれ・カフェ,コワーキング・シェアオフィス,coworking,/stories/coworking/meguro/,C,薄め/様子見,1-2,
145,目黒区,meguro,区,288713,住宅・おしゃれ・カフェ,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/meguro/,C,薄め/様子見,1-2,
146,目黒区,meguro,区,288713,住宅・おしゃれ・カフェ,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/meguro/,D,都心は対象外/親統合,0,
147,目黒区,meguro,区,288713,住宅・おしゃれ・カフェ,リトリート・禅体験,retreat-zen,/stories/retreat-zen/meguro/,C,薄め/様子見,1-2,
148,目黒区,meguro,区,288713,住宅・おしゃれ・カフェ,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/meguro/,C,薄め/様子見,1-2,
149,目黒区,meguro,区,288713,住宅・おしゃれ・カフェ,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/meguro/,C,薄め/様子見,1-2,
150,目黒区,meguro,区,288713,住宅・おしゃれ・カフェ,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/meguro/,C,薄め/様子見,1-2,
151,大田区,ota,区,757230,住宅・羽田・銭湯,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/ota/,C,薄め/様子見,1-2,
152,大田区,ota,区,757230,住宅・羽田・銭湯,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/ota/,D,原則対象外/親統合,0,
153,大田区,ota,区,757230,住宅・羽田・銭湯,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/ota/,D,原則対象外/親統合,0,
154,大田区,ota,区,757230,住宅・羽田・銭湯,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/ota/,C,薄め/様子見,1-2,
155,大田区,ota,区,757230,住宅・羽田・銭湯,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/ota/,B,標準,2-3,
156,大田区,ota,区,757230,住宅・羽田・銭湯,バー・ウイスキー・カクテル,bar-whiskey,/stories/bar-whiskey/ota/,C,薄め/様子見,1-2,
157,大田区,ota,区,757230,住宅・羽田・銭湯,スパ・サウナ・ウェルネス施設,spa-sauna-wellness,/stories/spa-sauna-wellness/ota/,A,主力・最優先,3-5,
158,大田区,ota,区,757230,住宅・羽田・銭湯,高級サロン・プライベートサロン,premium-salon,/stories/premium-salon/ota/,B,標準,2-3,
159,大田区,ota,区,757230,住宅・羽田・銭湯,コワーキング・シェアオフィス,coworking,/stories/coworking/ota/,C,薄め/様子見,1-2,
160,大田区,ota,区,757230,住宅・羽田・銭湯,会員制ラウンジ・クラブ,members-lounge,/stories/members-lounge/ota/,C,薄め/様子見,1-2,
161,大田区,ota,区,757230,住宅・羽田・銭湯,山・自然体験・グランピング,nature-glamping,/stories/nature-glamping/ota/,D,都心は対象外/親統合,0,
162,大田区,ota,区,757230,住宅・羽田・銭湯,リトリート・禅体験,retreat-zen,/stories/retreat-zen/ota/,C,薄め/様子見,1-2,
163,大田区,ota,区,757230,住宅・羽田・銭湯,神社・寺院・パワースポット,shrine-temple,/stories/shrine-temple/ota/,C,薄め/様子見,1-2,
164,大田区,ota,区,757230,住宅・羽田・銭湯,インバウンド観光・体験施設,inbound-experience,/stories/inbound-experience/ota/,C,薄め/様子見,1-2,
165,大田区,ota,区,757230,住宅・羽田・銭湯,文化・スポーツ・レジャー施設,culture-sports-leisure,/stories/culture-sports-leisure/ota/,C,薄め/様子見,1-2,
166,世田谷区,setagaya,区,950540,高級住宅・閑静,高級ホテル・ホテルラウンジ,hotel-lounge,/stories/hotel-lounge/setagaya/,B,標準,2-3,
167,世田谷区,setagaya,区,950540,高級住宅・閑静,温泉旅館・高級旅館,onsen-ryokan,/stories/onsen-ryokan/setagaya/,D,原則対象外/親統合,0,
168,世田谷区,setagaya,区,950540,高級住宅・閑静,貸切ヴィラ・一棟貸しの宿,villa-rental,/stories/villa-rental/setagaya/,D,原則対象外/親統合,0,
169,世田谷区,setagaya,区,950540,高級住宅・閑静,レストラン・ダイニング,restaurant-dining,/stories/restaurant-dining/setagaya/,B,標準,2-3,
170,世田谷区,setagaya,区,950540,高級住宅・閑静,カフェ・スペシャルティコーヒー,cafe-specialty-coffee,/stories/cafe-specialty-coffee/setagaya/,B,標準,2-3,
